,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
62,63,Habilitado,SI,SI,NO,NO,,"CUPLA REDUCCION 1"" a 1/2"" PP",CU112,',',0,0,0,unidad,0.21,CAVALLFER,0,0,289.2561983,350.6642617499999,,350.0,350,SI,SI,NO,0.0,0.0,,,
63,64,Habilitado,SI,SI,NO,NO,,"CUPLA REDUCCION 1"" a 3/4"" PP",CU134,',',0,0,0,unidad,0.21,CAVALLFER,0,0,289.2561983,350.6642617499999,,350.0,350,SI,SI,NO,0.0,0.0,,,
64,65,Habilitado,SI,SI,NO,NO,,"CUPLA REDUCCION 3/4"" a 1/2"" PP",CU3412,',',0,0,0,unidad,0.21,CAVALLFER,0,0,82.6446281,97.81152975,,100.0,100,SI,SI,NO,0.0,0.0,,,
65,66,Habilitado,SI,SI,NO,NO,,"CUPLA REFORZADA   1/2"" PP",CU12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,66.11570248,84.8292885,,80.0,80,SI,SI,NO,0.0,0.0,,,
66,67,Habilitado,SI,SI,NO,NO,,"CUPLA REFORZADA  3/4""  PP",CU34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,82.6446281,98.21582099999999,,100.0,100,SI,SI,NO,0.0,0.0,,,
67,68,Habilitado,SI,SI,NO,NO,,"CUPLA REFORZADA 1"" PP",CU1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,140.4958678,165.58871175,,170.0,170,SI,SI,NO,0.0,0.0,,,
68,69,Habilitado,SI,SI,NO,NO,,"CURVA RHH a 45     1/2"" PP",CHH4512,',',0,0,0,unidad,0.21,CAVALLFER,0,0,314.0495868,377.8595865,,380.0,380,SI,SI,NO,0.0,0.0,,,
69,70,Habilitado,SI,SI,NO,NO,,"CURVA RHH a 45    3/4"" PP",CHH4534,',',0,0,0,unidad,0.21,CAVALLFER,0,0,446.2809917,537.761268,,540.0,540,SI,SI,NO,0.0,0.0,,,
70,71,Habilitado,SI,SI,NO,NO,,"CURVA RHH a 45   1"" PP",CHH451,',',0,0,0,unidad,0.21,CAVALLFER,0,0,735.5371901,890.0516789999999,,890.0,890,SI,SI,NO,0.0,0.0,,,
71,72,Habilitado,SI,SI,NO,NO,,"CURVA RHH a 90     1/2"" PP ",CHH9012,',',0,0,0,unidad,0.21,CAVALLFER,0,0,314.0495868,377.8595865,,380.0,380,SI,SI,NO,0.0,0.0,,,
