,Unnamed: 0,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
188,,CMH9034,"CURVA RMH a 90    3/4""",598.56,#REF!,#REF!,#REF!
189,,CMH901,"CURVA RMH a 90   1""",990.68,#REF!,#REF!,#REF!
190,,ERR3412,"ENTRE ROSCA REDUCCION  3/4"" a 1/2""",167.15,#REF!,#REF!,#REF!
191,,ERR112,"ENTRE ROSCA REDUCCION 1"" a 1/2""",203.29,#REF!,#REF!,#REF!
192,,ERR134,"ENTRE ROSCA REDUCCION 1"" a 3/4""",203.29,#REF!,#REF!,#REF!
193,,ER12,"ENTRE ROSCA REF.   1/2""",62.79,#REF!,#REF!,#REF!
194,,ER34,"ENTRE ROSCA REF.  3/4""",71.38,#REF!,#REF!,#REF!
195,,ER1,"ENTRE ROSCA REF. 1""",94.42,#REF!,#REF!,#REF!
196,,N2012,"NIPLE REF.   1/2"" x   20 cm.",339.15,#REF!,#REF!,#REF!
197,,N612,"NIPLE REF.   1/2"" x   6 cm.",100.29,#REF!,#REF!,#REF!
198,,N812,"NIPLE REF.   1/2"" x  8 cm.",130.28,#REF!,#REF!,#REF!
199,,N1012,"NIPLE REF.   1/2"" x 10 cm.",195.61,#REF!,#REF!,#REF!
200,,N1212,"NIPLE REF.   1/2"" x 12 cm.",252.53,#REF!,#REF!,#REF!
201,,N1512,"NIPLE REF.   1/2"" x 15 cm.",275.57,#REF!,#REF!,#REF!
202,,N2034,"NIPLE REF.  3/4"" x   20 cm.",383.93,#REF!,#REF!,#REF!
203,,N634,"NIPLE REF.  3/4"" x   6 cm.",112.94,#REF!,#REF!,#REF!
204,,N834,"NIPLE REF.  3/4"" x  8 cm.",120.62,#REF!,#REF!,#REF!
205,,N1034,"NIPLE REF.  3/4"" x 10 cm.",217.29,#REF!,#REF!,#REF!
206,,N1234,"NIPLE REF.  3/4"" x 12 cm.",259.3,#REF!,#REF!,#REF!
207,,N1534,"NIPLE REF.  3/4"" x 15 cm.",304.48,#REF!,#REF!,#REF!
208,,N201,"NIPLE REF. 1"" x   20 cm.",510.04,#REF!,#REF!,#REF!
209,,N61,"NIPLE REF. 1"" x   6 cm.",247.56,#REF!,#REF!,#REF!
210,,N81,"NIPLE REF. 1"" x  8 cm.",301.77,#REF!,#REF!,#REF!
211,,N101,"NIPLE REF. 1"" x 10 cm.",304.93,#REF!,#REF!,#REF!
212,,N121,"NIPLE REF. 1"" x 12 cm.",332.03,#REF!,#REF!,#REF!
213,,N151,"NIPLE REF. 1"" x 15 cm.",401.15,#REF!,#REF!,#REF!
214,,TH12,"TAPA RH  REF.  1/2""",83.12,#REF!,#REF!,#REF!
215,,TH34,"TAPA RH REF.  3/4""",100.29,#REF!,#REF!,#REF!
216,,TH1,"TAPA RH REF. 1""",119.71,#REF!,#REF!,#REF!
217,,TM12,"TAPON RM REF.   1/2""",62.79,#REF!,#REF!,#REF!
218,,TM34,"TAPON RM REF.  3/4""",71.38,#REF!,#REF!,#REF!
219,,TM1,"TAPON RM REF. 1""",94.42,#REF!,#REF!,#REF!
220,,TR3412,"TEE RED. RHHH REF.   3/4"" a 1/2""",249.36,#REF!,#REF!,#REF!
221,,TR112,"TEE RED. RHHH REF.  1"" a 1/2""",770.23,#REF!,#REF!,#REF!
222,,TR134,"TEE RED. RHHH REF. 1"" a 3/4""",770.23,#REF!,#REF!,#REF!
223,,TE12,TEE RHHH  REF.   1/2,188.38,#REF!,#REF!,#REF!
224,,TE34,TEE RHHH  REF.  3/4,247.56,#REF!,#REF!,#REF!
225,,TE1,"TEE RHHH  REF. 1""",416.96,#REF!,#REF!,#REF!
226,,UD12,"UNION DOBLE RHH REF.   1/2"" C/JUNTA",373.59,#REF!,#REF!,#REF!
227,,UD34,"UNION DOBLE RHH REF.  3/4"" C/JUNTA",414.7,#REF!,#REF!,#REF!
228,,UD1,"UNION DOBLE RHH REF. 1"" C/ JUNTA",701.56,#REF!,#REF!,#REF!
229,,,,0.0,#REF!,#REF!,#REF!
230,,,ACCESORIOS DE PVC,0.0,#REF!,#REF!,#REF!
231,,BA1010,BOCA DE ACCESO 10 x 10,2871.31,#REF!,#REF!,#REF!
232,,CC100S,CAÑO CAMARA  100 STD,2007.99,#REF!,#REF!,#REF!
