,Unnamed: 0,Unnamed: 1,Unnamed: 2
281,,BISAGRA MUNICION PARA SOLDAR 100 x 37 1211,BMS10037
282,,BISAGRA MUNICION PARA SOLDAR 100 x 75 1391,BMS10075
283,,BISAGRA MUNICION PARA SOLDAR 100 x 88 1491,BMS10088
284,,BISAGRA MUNICION PARA SOLDAR 75 x 37 1101,BMS7537
285,,BISAGRA MUNICION PARA SOLDAR 75 x 75 1291,BMS7575
286,,BISAGRA FICHA  80 x 20 ZINCADO AZUL,BF8020
287,,BISAGRA FICHA 2 x 3 x 1.50 - ZINCADO AZUL,BF2315
288,,BISAGRA FICHA 2 x 5 x 1.50 - ZINCADO AZUL,BF2515
289,,BISAGRA PLACARD 50 mm. BRONCEADAS DER - IZQ,BP50B
290,,BISAGRA PLACARD 50 mm. NIQUELADAS DER - IZQ,BP50N
291,,BISAGRA PLACARD 63 mm. BRONCEADAS DER - IZQ,BP63B
292,,BISAGRA PLACARD 63 mm. NIQUELADAS DER - IZQ,BP63N
293,,BISAGRA  ATORNILLAR HIERRO FORJADO 15 cms.,BTHF13
294,,BISAGRA  ATORNILLAR HIERRO FORJADO 20 cms.,BTHF20
295,,BISAGRA  ATORNILLAR HIERRO FORJADO 25 cms.,BTHF25
296,,BISAGRA AMURAR HIERRO FORJADO 13 cms.,BAHF13
297,,BISAGRA AMURAR HIERRO FORJADO 20 cms.,BAHF20
298,,BISAGRA AMURAR HIERRO FORJADO 25 cms.,BAHF25
299,,BISAGRA FORJADA DOBLE ALA 15cm,BDA15
300,,BISAGRA FORJADA DOBLE ALA 20cm,BDA20
301,,BISAGRA FORJADA DOBLE ALA 25cm,BDA25
302,,BISAGRA P/SOLDAR 100-33 581      Bolsa x 25 un.,BS10033
303,,BISAGRA P/SOLDAR 100-33-8 571   Bolsa x 25 un.,BS100338
304,,BISAGRA P/SOLDAR 100-8 561        Bolsa x 25 un.,BS1008
305,,BISAGRA P/SOLDAR 60-33 521        Bolsa x 25 un.,BS6033
306,,BISAGRA P/SOLDAR 60-33-8  511    Bolsa x 25 un.,BS60338
307,,BISAGRA P/SOLDAR 60-8 501          Bolsa x 25 un.,BS608
308,,BISAGRA P/SOLDAR 80-33 551        Bolsa x 25 un.,BS8033
309,,BISAGRA P/SOLDAR 80-33-8 541     Bolsa x 25 un.,BS80338
310,,BISAGRA P/SOLDAR 80-8 531          Bolsa x 25 un.,BS808
311,,BISAGRA POMELA CARPINTERO 110 x 55 DER - IZQ AZUL,BP11055
312,,BISAGRA POMELA CARPINTERO 140 x 60 DER - IZQ AZUL,BP14060
313,,BISAGRA POMELA CARPINTERO 160 x 80 DER - IZQ AZUL,BP16080
314,,BISAGRA POMELA MIXTA   110 x 62  DER - IZQ 4031,BPM110
