,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,0.45,DESCUENTO,,,,
1,,,MARGEN,,,,
2,,,,,,,
3,,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
159,,TERH34,TEE ENCHUFE ROSCA HEMBRA 3/4,545.22,245.34900000000002,296.87229,489.83927850000003
160,,,,0,0,0,0
161,,,ACCESORIOS DE POLIPROPILENO,0,0,0,0
162,,BR3412,"BUJE REDUCCION  3/4"" a 1/2""",127.39,57.3255,69.363855,114.45036075
163,,BR112,"BUJE REDUCCION 1"" a 1/2""",140.04,63.018,76.25178,125.81543699999999
164,,BR134,"BUJE REDUCCION 1"" a 3/4""",147.27,66.2715,80.188515,132.31104975
165,,COR3412,"CODO REDUCCION RHH  3/4"" a 1/2""",238.97,107.5365,130.119165,214.69662225
166,,COR134,"CODO REDUCCION RHH 1"" a 3/4""",713.76,321.192,388.64232,641.259828
167,,COHH12,"CODO RHH REFORZADA   1/2""",103.9,46.755,56.573550000000004,93.3463575
168,,COHH34,"CODO RHH REFORZADA  3/4""",164.44,73.998,89.53758,147.737007
169,,COHH1,"CODO RHH REFORZADA 1""",304.48,137.01600000000002,165.78936000000002,273.55244400000004
170,,COMH12,"CODO RMH REFORZADA   1/2""",109.32,49.193999999999996,59.524739999999994,98.21582099999999
171,,COMH34,CODO RMH REFORZADA  3/4,175.28,78.876,95.43996,157.475934
172,,COMH1,"CODO RMH REFORZADA 1""",305.83,137.6235,166.524435,274.76531775
173,,CTC12,"CONEXION TANQUE COMPLETO   1/2""",1026.82,462.06899999999996,559.10349,922.5207584999999
174,,CTC34,"CONEXION TANQUE COMPLETO  3/4""",1048.95,472.02750000000003,571.153275,942.40290375
175,,CTC1,"CONEXION TANQUE COMPLETO 1""",1147.89,516.5505,625.026105,1031.29307325
176,,CU112,"CUPLA REDUCCION 1"" a 1/2""",390.31,175.6395,212.52379499999998,350.6642617499999
177,,CU134,"CUPLA REDUCCION 1"" a 3/4""",390.31,175.6395,212.52379499999998,350.6642617499999
178,,CU3412,"CUPLA REDUCCION 3/4"" a 1/2""",108.87,48.9915,59.279715,97.81152975
179,,CU12,"CUPLA REFORZADA   1/2""",94.42,42.489000000000004,51.41169000000001,84.8292885
180,,CU34,"CUPLA REFORZADA  3/4""",109.32,49.193999999999996,59.524739999999994,98.21582099999999
181,,CU1,"CUPLA REFORZADA 1""",184.31,82.93950000000001,100.356795,165.58871175
182,,CHH4512,"CURVA RHH a 45     1/2""",420.58,189.261,229.00581,377.8595865
183,,CHH4534,"CURVA RHH a 45    3/4""",598.56,269.352,325.91591999999997,537.761268
184,,CHH451,"CURVA RHH a 45   1""",990.68,445.806,539.42526,890.0516789999999
185,,CHH9012,"CURVA RHH a 90     1/2""",420.58,189.261,229.00581,377.8595865
186,,CHH9034,"CURVA RHH a 90    3/4""",598.56,269.352,325.91591999999997,537.761268
187,,CHH901,"CURVA RHH a 90   1""",990.68,445.806,539.42526,890.0516789999999
188,,CMH4512,"CURVA RMH a 45     1/2""",420.58,189.261,229.00581,377.8595865
189,,CMH4534,"CURVA RMH a 45    3/4""",598.56,269.352,325.91591999999997,537.761268
190,,CMH451,"CURVA RMH a 45   1""",990.68,445.806,539.42526,890.0516789999999
191,,CMH9012,"CURVA RMH a 90     1/2""",420.58,189.261,229.00581,377.8595865
192,,CMH9034,"CURVA RMH a 90    3/4""",598.56,269.352,325.91591999999997,537.761268
193,,CMH901,"CURVA RMH a 90   1""",990.68,445.806,539.42526,890.0516789999999
194,,ERR3412,"ENTRE ROSCA REDUCCION  3/4"" a 1/2""",167.15,75.2175,91.013175,150.17173875
195,,ERR112,"ENTRE ROSCA REDUCCION 1"" a 1/2""",203.29,91.48049999999999,110.69140499999999,182.64081824999997
196,,ERR134,"ENTRE ROSCA REDUCCION 1"" a 3/4""",203.29,91.48049999999999,110.69140499999999,182.64081824999997
197,,ER12,"ENTRE ROSCA REF.   1/2""",62.79,28.2555,34.189155,56.412105749999995
198,,ER34,"ENTRE ROSCA REF.  3/4""",71.38,32.121,38.86641,64.1295765
199,,ER1,"ENTRE ROSCA REF. 1""",94.42,42.489000000000004,51.41169000000001,84.8292885
200,,N2012,"NIPLE REF.   1/2"" x   20 cm.",339.15,152.6175,184.66717500000001,304.70083875
201,,N612,"NIPLE REF.   1/2"" x   6 cm.",100.29,45.130500000000005,54.607905,90.10304325
202,,N812,"NIPLE REF.   1/2"" x  8 cm.",130.28,58.626000000000005,70.93746,117.046809
203,,N1012,"NIPLE REF.   1/2"" x 10 cm.",195.61,88.0245,106.509645,175.74091425
204,,N1212,"NIPLE REF.   1/2"" x 12 cm.",252.53,113.63850000000001,137.502585,226.87926525
